front,back,1
abstract,นิยาม,1
Abstract art is art that does not depict a specific object or scene.,ศิลปะนิยามเป็นศิลปะที่ไม่แสดงวัตถุหรือภาพบรรยากาศใดๆ,1
access,เข้าถึง,1
You can access your account settings by clicking on the gear icon in the top right corner.,คุณสามารถเข้าถึงการตั้งค่าบัญชีของคุณโดยการคลิกที่ไอคอนเกียรติบริเวณขวาบน,1
accurate,ถูกต้อง,1
It is important to check for accurate spelling and grammar in your writing.,มีความสำคัญที่จะตรวจสอบการสะกดและการสำนวนที่ถูกต้องในการเขียนของคุณ,1
achieve,ประสบความสำเร็จ,1
She achieved her goal of running a marathon by training every day for six months.,เธอได้ประสบความสำเร็จในการวิ่งมาราธอนโดยฝึกวิ่งทุกวันสำหรับหกเดือน,1
adequate,เพียงพอ,1
There is an adequate amount of food for everyone at the potluck.,มีอาหารเพียงพอสำหรับทุกคนที่หม้อ,1
adjust,ปรับ,1
Please adjust the temperature in the room to a comfortable level.,โปรดปรับอุณหภูมิในห้องให้เป็นระดับที่สบาย,1
advocate,เสนอคำแนะนำ,1
He is an advocate for environmental conservation.,เขาเป็นผู้เสนอคำแนะนำสำหรับการอนุรักษ์สิ่งแวดล้อม,1
affect,มีผลต่อ,1
The change in the weather will affect your travel plans.,การเปลี่ยนแปลงของสภาพอากาศจะมีผลต่อแผนการเดินทางของคุณ,1
aggregate,รวม,1
The aggregate amount of money raised at the charity event was impressive.,จำนวนเงินรวมที่บริจาคที่กิจกรรมช่วยเหลือของมูลนิธิดีเด่น,1
analyze,วิเคราะห์,1
The data analyst was hired to analyze the company's sales figures.,นักวิเคราะห์ข้อมูลถูกเช่าเพื่อวิเคราะห์ตัวเลขขายของบริษัท,1
annual,รายปี,1
The annual report is due at the end of the fiscal year.,รายงานประจำปีมีกำหนดส่งเมื่อสิ้นปีบัญชี,1
assemble,รวมกัน,1
The volunteers assembled the care packages for the disaster relief effort.,อาสาสมัครเรียกรวมชุดสุขภัณฑ์สำหรับการช่วยเหลือภัยพิบัติ,1
assess,ประเมิน,1
The teacher will assess the students' progress through exams and assignments.,ครูจะประเมินความก้าวหน้าของนักเรียนผ่านการสอบและการส่งงาน,1
associate,เชื่อมโยง,1
She associates the smell of lavender with relaxation.,เธอเชื่อมโยงกลิ่นของมะลิกับการผ่อนคลาย,1
attribute,กำหนดค่า,1
He attributes his success to hard work and determination.,เขากำหนดค่าความสำเร็จของเขากับการทำงานหนักและความตั้งใจ,1
available,สามารถใช้ได้,1
There are only a few tickets available for the concert.,มีเพียงบางโซนที่สามารถใช้ได้สำหรับคอนเสิร์ต,1
benefit,ประโยชน์,1
"The company offers its employees numerous benefits, such as healthcare and retirement plans.",บริษัทให้สวัสดิการมากมายแก่พนักงาน เช่น แผนการรักษาพยาบาลและเกษียณอายุ,1
